time,x,y,yaw
1762758260.867421,0.025282,0.027951,0.003375
1762758260.897833,0.026049,0.027373,0.003060
1762758260.931701,0.025763,0.028037,0.002800
1762758260.967694,0.025265,0.027641,0.002979
1762758261.014618,0.027471,0.029821,0.003885
1762758261.047275,0.029186,0.028430,0.003206
1762758261.096193,0.026683,0.026269,0.001983
1762758261.134069,0.026158,0.026081,0.002121
1762758261.172359,0.028007,0.028285,0.003061
1762758261.205889,0.026511,0.028468,0.003663
1762758261.241660,0.027247,0.029352,0.004043
1762758261.289499,0.027778,0.028204,0.003792
1762758261.323201,0.027933,0.030293,0.003896
1762758261.372839,0.027747,0.029971,0.003960
1762758261.405159,0.025614,0.028400,0.002826
1762758261.443630,0.027907,0.026480,0.001916
1762758261.472287,0.028719,0.029044,0.002332
1762758261.511739,0.029960,0.027592,0.001776
1762758261.546450,0.030492,0.030754,0.002196
1762758261.579809,0.029832,0.032165,0.002563
1762758261.667229,0.030313,0.034033,0.002944
1762758261.683004,0.030953,0.033125,0.002779
1762758261.698763,0.029884,0.032015,0.002064
1762758261.738947,0.029123,0.032737,0.002421
1762758261.765688,0.029759,0.033295,0.002679
1762758261.806212,0.030884,0.032652,0.002214
1762758261.839537,0.030080,0.032857,0.001890
1762758261.887937,0.029108,0.031914,0.002235
1762758261.919740,0.030174,0.031863,0.002697
1762758261.960045,0.030003,0.032587,0.002775
1762758262.006442,0.030124,0.033033,0.002812
1762758262.034373,0.031244,0.031360,0.002471
1762758262.076281,0.031769,0.031824,0.002820
1762758262.110699,0.031908,0.032084,0.002838
1762758262.165607,0.033240,0.032852,0.003413
1762758262.202885,0.033873,0.030963,0.003061
1762758262.243343,0.031842,0.030499,0.002353
1762758262.278638,0.031297,0.030152,0.002548
1762758262.318623,0.032325,0.031530,0.003007
1762758262.352288,0.032388,0.030307,0.002933
1762758262.410949,0.032320,0.032441,0.003070
1762758262.442343,0.032427,0.032342,0.003100
1762758262.481564,0.034074,0.033358,0.003744
1762758262.528305,0.034528,0.032777,0.003607
1762758262.563194,0.034040,0.034324,0.003491
1762758262.600547,0.033392,0.035373,0.003840
1762758262.640904,0.033418,0.035348,0.003750
